Cell_ID,Precursor,Cycle,Capacity
Cell_2,Waste Carton,56,327.68
Cell_2,Waste Carton,57,327.15
Cell_2,Waste Carton,58,325.9
Cell_2,Waste Carton,59,326.01
Cell_2,Waste Carton,60,325.14
Cell_2,Waste Carton,61,325.31
Cell_2,Waste Carton,62,325.25
Cell_2,Waste Carton,63,323.72
Cell_2,Waste Carton,64,324.61
Cell_2,Waste Carton,65,323.71
Cell_2,Waste Carton,66,324.15
Cell_2,Waste Carton,67,323.22
Cell_2,Waste Carton,68,323.24
Cell_2,Waste Carton,69,322.33
Cell_2,Waste Carton,70,322.63
Cell_2,Waste Carton,71,322.19
Cell_2,Waste Carton,72,322.33
Cell_2,Waste Carton,73,320.4
Cell_2,Waste Carton,74,320.78
Cell_2,Waste Carton,75,319.23
Cell_2,Waste Carton,76,320.1
Cell_2,Waste Carton,77,319.39
Cell_2,Waste Carton,78,319.5
Cell_2,Waste Carton,79,319.07
Cell_2,Waste Carton,80,318.58
Cell_2,Waste Carton,81,319.55
Cell_2,Waste Carton,82,317.17
Cell_2,Waste Carton,83,318.21
Cell_2,Waste Carton,84,316.9
Cell_2,Waste Carton,85,316.88
Cell_2,Waste Carton,86,316.85
Cell_2,Waste Carton,87,315.92
Cell_2,Waste Carton,88,316.2
Cell_2,Waste Carton,89,316.38
Cell_2,Waste Carton,90,315.39
Cell_2,Waste Carton,91,315.32
Cell_2,Waste Carton,92,314.35
Cell_2,Waste Carton,93,313.76
Cell_2,Waste Carton,94,313.45
Cell_2,Waste Carton,95,313.38
Cell_2,Waste Carton,96,314.06
Cell_2,Waste Carton,97,313.81
Cell_2,Waste Carton,98,313.24
Cell_2,Waste Carton,99,311.5
Cell_2,Waste Carton,100,312.02
Cell_3,Waste Carton,1,348.11
Cell_3,Waste Carton,2,348.63
Cell_3,Waste Carton,3,346.35
Cell_3,Waste Carton,4,347.59
Cell_3,Waste Carton,5,347.82
Cell_3,Waste Carton,6,346.41
Cell_3,Waste Carton,7,347.09
Cell_3,Waste Carton,8,346.28
Cell_3,Waste Carton,9,344.76
Cell_3,Waste Carton,10,345.78
Cell_3,Waste Carton,11,344.8
Cell_3,Waste Carton,12,345.46
Cell_3,Waste Carton,13,344.55
Cell_3,Waste Carton,14,344.25
Cell_3,Waste Carton,15,343.09
Cell_3,Waste Carton,16,342.71
Cell_3,Waste Carton,17,344.1
Cell_3,Waste Carton,18,343.02
Cell_3,Waste Carton,19,341.47
Cell_3,Waste Carton,20,342.13
Cell_3,Waste Carton,21,341.92
Cell_3,Waste Carton,22,341.92
Cell_3,Waste Carton,23,341.09
Cell_3,Waste Carton,24,340.85
Cell_3,Waste Carton,25,341.11
Cell_3,Waste Carton,26,340.22
Cell_3,Waste Carton,27,339.43
Cell_3,Waste Carton,28,338.73
Cell_3,Waste Carton,29,339.18
Cell_3,Waste Carton,30,338.25
Cell_3,Waste Carton,31,339.36
Cell_3,Waste Carton,32,336.62
Cell_3,Waste Carton,33,337.44
Cell_3,Waste Carton,34,337.42
Cell_3,Waste Carton,35,336.91
Cell_3,Waste Carton,36,336.56
Cell_3,Waste Carton,37,336.42
Cell_3,Waste Carton,38,335.89
Cell_3,Waste Carton,39,335.09
Cell_3,Waste Carton,40,335.73
Cell_3,Waste Carton,41,335.38
Cell_3,Waste Carton,42,333.9
Cell_3,Waste Carton,43,334.74
Cell_3,Waste Carton,44,333.66
Cell_3,Waste Carton,45,333.44
Cell_3,Waste Carton,46,332.39
Cell_3,Waste Carton,47,332.67
Cell_3,Waste Carton,48,332.6
Cell_3,Waste Carton,49,332.55
Cell_3,Waste Carton,50,331.31
Cell_3,Waste Carton,51,331.23
Cell_3,Waste Carton,52,330.45
Cell_3,Waste Carton,53,329.92
Cell_3,Waste Carton,54,329.69
Cell_3,Waste Carton,55,328.42
Cell_3,Waste Carton,56,329.79
Cell_3,Waste Carton,57,329.05
Cell_3,Waste Carton,58,328.87
Cell_3,Waste Carton,59,329.01
Cell_3,Waste Carton,60,327.77
Cell_3,Waste Carton,61,327.68
Cell_3,Waste Carton,62,326.9
Cell_3,Waste Carton,63,326.44
Cell_3,Waste Carton,64,326.48
Cell_3,Waste Carton,65,325.78
Cell_3,Waste Carton,66,326.54
Cell_3,Waste Carton,67,325.43
Cell_3,Waste Carton,68,325.13
Cell_3,Waste Carton,69,325.67
Cell_3,Waste Carton,70,323.49
Cell_3,Waste Carton,71,324.19
Cell_3,Waste Carton,72,324.06
Cell_3,Waste Carton,73,323.15
Cell_3,Waste Carton,74,324.04
Cell_3,Waste Carton,75,323.28
Cell_3,Waste Carton,76,321.58
Cell_3,Waste Carton,77,323.52
Cell_3,Waste Carton,78,321.04
Cell_3,Waste Carton,79,321.95
Cell_3,Waste Carton,80,320.99
Cell_3,Waste Carton,81,320.48
Cell_3,Waste Carton,82,320.71
Cell_3,Waste Carton,83,320.24
Cell_3,Waste Carton,84,319.5
Cell_3,Waste Carton,85,319.09
Cell_3,Waste Carton,86,318.21
Cell_3,Waste Carton,87,318.98
Cell_3,Waste Carton,88,318.61
Cell_3,Waste Carton,89,317.28
Cell_3,Waste Carton,90,317.23
Cell_3,Waste Carton,91,317.51
Cell_3,Waste Carton,92,318.05
Cell_3,Waste Carton,93,316.16
Cell_3,Waste Carton,94,316.92
Cell_3,Waste Carton,95,316.6
Cell_3,Waste Carton,96,315.56
Cell_3,Waste Carton,97,315.22
Cell_3,Waste Carton,98,313.56
Cell_3,Waste Carton,99,314.47
Cell_3,Waste Carton,100,314.17
Cell_4,Waste Carton,1,347.67
Cell_4,Waste Carton,2,349.05
Cell_4,Waste Carton,3,347.94
Cell_4,Waste Carton,4,347.45
Cell_4,Waste Carton,5,347.08
Cell_4,Waste Carton,6,345.33
Cell_4,Waste Carton,7,346.04
Cell_4,Waste Carton,8,345.4
Cell_4,Waste Carton,9,345.61
Cell_4,Waste Carton,10,344.7
Cell_4,Waste Carton,11,344.63
Cell_4,Waste Carton,12,344.33
Cell_4,Waste Carton,13,344.07
Cell_4,Waste Carton,14,343.75
Cell_4,Waste Carton,15,344.45
Cell_4,Waste Carton,16,342.91
Cell_4,Waste Carton,17,343.81
Cell_4,Waste Carton,18,341.56
Cell_4,Waste Carton,19,341.37
Cell_4,Waste Carton,20,341.35
Cell_4,Waste Carton,21,341.03
Cell_4,Waste Carton,22,340.64
Cell_4,Waste Carton,23,340.73
Cell_4,Waste Carton,24,339.96
Cell_4,Waste Carton,25,340.25
Cell_4,Waste Carton,26,339.25
Cell_4,Waste Carton,27,337.79
Cell_4,Waste Carton,28,338.12
Cell_4,Waste Carton,29,337.58
Cell_4,Waste Carton,30,337.57
Cell_4,Waste Carton,31,338.06
Cell_4,Waste Carton,32,337.26
Cell_4,Waste Carton,33,337.45
Cell_4,Waste Carton,34,336.9
Cell_4,Waste Carton,35,335.82
Cell_4,Waste Carton,36,336.03
Cell_4,Waste Carton,37,336.19
Cell_4,Waste Carton,38,334.61
Cell_4,Waste Carton,39,334.83
Cell_4,Waste Carton,40,334.09
Cell_4,Waste Carton,41,334.35
Cell_4,Waste Carton,42,332.95
Cell_4,Waste Carton,43,332.64
Cell_4,Waste Carton,44,333.11
Cell_4,Waste Carton,45,331.72
Cell_4,Waste Carton,46,331.94
Cell_4,Waste Carton,47,332.52
Cell_4,Waste Carton,48,331.81
Cell_4,Waste Carton,49,330.46
Cell_4,Waste Carton,50,331.39
Cell_4,Waste Carton,51,331.05
Cell_4,Waste Carton,52,330.36
Cell_4,Waste Carton,53,330.22
Cell_4,Waste Carton,54,330.25
Cell_4,Waste Carton,55,329.54
Cell_4,Waste Carton,56,328.88
Cell_4,Waste Carton,57,328.96
Cell_4,Waste Carton,58,327.23
Cell_4,Waste Carton,59,327.25
Cell_4,Waste Carton,60,327.94
Cell_4,Waste Carton,61,327.27
Cell_4,Waste Carton,62,326.66
Cell_4,Waste Carton,63,326.62
Cell_4,Waste Carton,64,325.89
Cell_4,Waste Carton,65,326.0
Cell_4,Waste Carton,66,325.36
Cell_4,Waste Carton,67,325.59
Cell_4,Waste Carton,68,324.87
Cell_4,Waste Carton,69,324.13
Cell_4,Waste Carton,70,323.87
Cell_4,Waste Carton,71,322.3
Cell_4,Waste Carton,72,323.02
Cell_4,Waste Carton,73,322.51
Cell_4,Waste Carton,74,321.68
Cell_4,Waste Carton,75,321.81
Cell_4,Waste Carton,76,322.08
Cell_4,Waste Carton,77,321.37
Cell_4,Waste Carton,78,321.21
Cell_4,Waste Carton,79,321.13
Cell_4,Waste Carton,80,319.94
Cell_4,Waste Carton,81,320.24
Cell_4,Waste Carton,82,319.41
Cell_4,Waste Carton,83,318.65
Cell_4,Waste Carton,84,319.09
Cell_4,Waste Carton,85,318.05
Cell_4,Waste Carton,86,317.97
Cell_4,Waste Carton,87,317.47
Cell_4,Waste Carton,88,316.78
Cell_4,Waste Carton,89,317.66
Cell_4,Waste Carton,90,316.71
Cell_4,Waste Carton,91,316.63
Cell_4,Waste Carton,92,316.23
Cell_4,Waste Carton,93,317.59
Cell_4,Waste Carton,94,314.72
Cell_4,Waste Carton,95,315.31
Cell_4,Waste Carton,96,314.96
Cell_4,Waste Carton,97,314.32
Cell_4,Waste Carton,98,314.26
Cell_4,Waste Carton,99,313.52
Cell_4,Waste Carton,100,312.79
Cell_5,PET Bottle,1,309.48
Cell_5,PET Bottle,2,308.65
Cell_5,PET Bottle,3,308.74
Cell_5,PET Bottle,4,308.38
Cell_5,PET Bottle,5,306.54
Cell_5,PET Bottle,6,306.77
Cell_5,PET Bottle,7,305.57
Cell_5,PET Bottle,8,305.81
Cell_5,PET Bottle,9,305.86
Cell_5,PET Bottle,10,304.82
Cell_5,PET Bottle,11,303.25
Cell_5,PET Bottle,12,303.82
Cell_5,PET Bottle,13,303.2
Cell_5,PET Bottle,14,302.95
Cell_5,PET Bottle,15,301.13
Cell_5,PET Bottle,16,301.51
Cell_5,PET Bottle,17,301.01
Cell_5,PET Bottle,18,300.79
Cell_5,PET Bottle,19,300.84
Cell_5,PET Bottle,20,300.15
Cell_5,PET Bottle,21,299.27
Cell_5,PET Bottle,22,298.87
Cell_5,PET Bottle,23,299.35
Cell_5,PET Bottle,24,298.83
Cell_5,PET Bottle,25,298.4
Cell_5,PET Bottle,26,298.25
Cell_5,PET Bottle,27,297.02
Cell_5,PET Bottle,28,296.96
Cell_5,PET Bottle,29,295.66
Cell_5,PET Bottle,30,296.49
Cell_5,PET Bottle,31,295.16
Cell_5,PET Bottle,32,293.99
Cell_5,PET Bottle,33,293.99
Cell_5,PET Bottle,34,293.3
Cell_5,PET Bottle,35,292.74
Cell_5,PET Bottle,36,292.7
Cell_5,PET Bottle,37,292.22
Cell_5,PET Bottle,38,292.38
Cell_5,PET Bottle,39,292.05
Cell_5,PET Bottle,40,291.03
Cell_5,PET Bottle,41,289.77
Cell_5,PET Bottle,42,290.14
Cell_5,PET Bottle,43,289.28
Cell_5,PET Bottle,44,288.68
Cell_5,PET Bottle,45,288.76
Cell_5,PET Bottle,46,287.62
Cell_5,PET Bottle,47,286.82
Cell_5,PET Bottle,48,286.76
Cell_5,PET Bottle,49,287.29
Cell_5,PET Bottle,50,285.69
Cell_5,PET Bottle,51,284.68
Cell_5,PET Bottle,52,286.13
Cell_5,PET Bottle,53,284.86
Cell_5,PET Bottle,54,283.96
Cell_5,PET Bottle,55,283.79
Cell_5,PET Bottle,56,283.78
Cell_5,PET Bottle,57,283.15
Cell_5,PET Bottle,58,281.99
Cell_5,PET Bottle,59,281.05
Cell_5,PET Bottle,60,280.4
Cell_5,PET Bottle,61,280.72
Cell_5,PET Bottle,62,280.08
Cell_5,PET Bottle,63,280.3
Cell_5,PET Bottle,64,279.79
Cell_5,PET Bottle,65,279.56
Cell_5,PET Bottle,66,278.14
Cell_5,PET Bottle,67,278.35
Cell_5,PET Bottle,68,278.0
Cell_5,PET Bottle,69,277.47
Cell_5,PET Bottle,70,276.83
Cell_5,PET Bottle,71,276.98
Cell_5,PET Bottle,72,275.93
Cell_5,PET Bottle,73,274.85
Cell_5,PET Bottle,74,274.84
Cell_5,PET Bottle,75,274.4
Cell_5,PET Bottle,76,273.0
Cell_5,PET Bottle,77,273.26
Cell_5,PET Bottle,78,272.97
Cell_5,PET Bottle,79,271.74
Cell_5,PET Bottle,80,272.01
Cell_5,PET Bottle,81,271.09
Cell_5,PET Bottle,82,271.35
Cell_5,PET Bottle,83,270.74
Cell_5,PET Bottle,84,270.06
Cell_5,PET Bottle,85,270.16
Cell_5,PET Bottle,86,268.86
Cell_5,PET Bottle,87,269.45
Cell_5,PET Bottle,88,268.6
Cell_5,PET Bottle,89,266.47
Cell_5,PET Bottle,90,267.19
Cell_5,PET Bottle,91,267.22
Cell_5,PET Bottle,92,266.54
Cell_5,PET Bottle,93,265.41
Cell_5,PET Bottle,94,265.3
Cell_5,PET Bottle,95,264.83
Cell_5,PET Bottle,96,264.76
Cell_5,PET Bottle,97,263.44
Cell_5,PET Bottle,98,263.48
Cell_5,PET Bottle,99,262.42
Cell_5,PET Bottle,100,262.37
Cell_6,PET Bottle,1,303.26
Cell_6,PET Bottle,2,303.38
Cell_6,PET Bottle,3,302.61
Cell_6,PET Bottle,4,302.75
Cell_6,PET Bottle,5,301.41
Cell_6,PET Bottle,6,302.37
Cell_6,PET Bottle,7,301.82
Cell_6,PET Bottle,8,301.03
Cell_6,PET Bottle,9,300.21
Cell_6,PET Bottle,10,300.88
Cell_6,PET Bottle,11,298.41
Cell_6,PET Bottle,12,298.37
Cell_6,PET Bottle,13,297.46
Cell_6,PET Bottle,14,296.34
Cell_6,PET Bottle,15,297.6
Cell_6,PET Bottle,16,297.41
Cell_6,PET Bottle,17,295.55
Cell_6,PET Bottle,18,295.86
Cell_6,PET Bottle,19,295.14
Cell_6,PET Bottle,20,294.9
Cell_6,PET Bottle,21,294.3
Cell_6,PET Bottle,22,294.57
Cell_6,PET Bottle,23,293.46
Cell_6,PET Bottle,24,293.85
Cell_6,PET Bottle,25,292.92
Cell_6,PET Bottle,26,292.28
Cell_6,PET Bottle,27,291.5
Cell_6,PET Bottle,28,290.93
Cell_6,PET Bottle,29,290.78
Cell_6,PET Bottle,30,289.94
Cell_6,PET Bottle,31,290.44
Cell_6,PET Bottle,32,289.18
Cell_6,PET Bottle,33,289.23
Cell_6,PET Bottle,34,288.12
Cell_6,PET Bottle,35,288.03
Cell_6,PET Bottle,36,287.39
Cell_6,PET Bottle,37,287.44
Cell_6,PET Bottle,38,286.82
Cell_6,PET Bottle,39,286.08
Cell_6,PET Bottle,40,285.4
Cell_6,PET Bottle,41,285.84
Cell_6,PET Bottle,42,285.18
Cell_6,PET Bottle,43,284.35
Cell_6,PET Bottle,44,284.08
Cell_6,PET Bottle,45,283.95
Cell_6,PET Bottle,46,282.43
Cell_6,PET Bottle,47,282.59
Cell_6,PET Bottle,48,282.7
Cell_6,PET Bottle,49,282.05
Cell_6,PET Bottle,50,280.93
Cell_6,PET Bottle,51,281.35
Cell_6,PET Bottle,52,280.17
Cell_6,PET Bottle,53,280.32
Cell_6,PET Bottle,54,279.88
Cell_6,PET Bottle,55,278.65
Cell_6,PET Bottle,56,278.16
Cell_6,PET Bottle,57,278.27
Cell_6,PET Bottle,58,277.05
Cell_6,PET Bottle,59,277.61
Cell_6,PET Bottle,60,277.44
Cell_6,PET Bottle,61,275.95
Cell_6,PET Bottle,62,275.84
Cell_6,PET Bottle,63,275.02
Cell_6,PET Bottle,64,275.22
Cell_6,PET Bottle,65,274.16
Cell_6,PET Bottle,66,274.53
Cell_6,PET Bottle,67,273.98
Cell_6,PET Bottle,68,273.01
Cell_6,PET Bottle,69,272.7
Cell_6,PET Bottle,70,270.7
Cell_6,PET Bottle,71,271.68
Cell_6,PET Bottle,72,271.82
Cell_6,PET Bottle,73,270.69
Cell_6,PET Bottle,74,270.16
Cell_6,PET Bottle,75,268.67
Cell_6,PET Bottle,76,268.81
Cell_6,PET Bottle,77,268.86
Cell_6,PET Bottle,78,267.6
Cell_6,PET Bottle,79,266.54
Cell_6,PET Bottle,80,268.09
Cell_6,PET Bottle,81,267.37
Cell_6,PET Bottle,82,266.65
Cell_6,PET Bottle,83,266.14
Cell_6,PET Bottle,84,264.46
Cell_6,PET Bottle,85,265.29
Cell_6,PET Bottle,86,264.3
Cell_6,PET Bottle,87,263.86
Cell_6,PET Bottle,88,264.01
Cell_6,PET Bottle,89,263.7
Cell_6,PET Bottle,90,263.04
Cell_6,PET Bottle,91,262.9
Cell_6,PET Bottle,92,261.67
Cell_6,PET Bottle,93,262.16
Cell_6,PET Bottle,94,261.0
Cell_6,PET Bottle,95,260.78
Cell_6,PET Bottle,96,260.22
Cell_6,PET Bottle,97,261.61
Cell_6,PET Bottle,98,258.47
Cell_6,PET Bottle,99,258.29
Cell_6,PET Bottle,100,257.79
Cell_7,PET Bottle,1,308.17
Cell_7,PET Bottle,2,307.18
Cell_7,PET Bottle,3,306.67
Cell_7,PET Bottle,4,306.83
Cell_7,PET Bottle,5,305.59
Cell_7,PET Bottle,6,305.19
Cell_7,PET Bottle,7,305.32
Cell_7,PET Bottle,8,305.13
Cell_7,PET Bottle,9,304.35
Cell_7,PET Bottle,10,304.82
Cell_7,PET Bottle,11,303.25
Cell_7,PET Bottle,12,302.77
Cell_7,PET Bottle,13,302.38
Cell_7,PET Bottle,14,302.23
Cell_7,PET Bottle,15,301.51
Cell_7,PET Bottle,16,301.44
Cell_7,PET Bottle,17,301.03
Cell_7,PET Bottle,18,300.08
Cell_7,PET Bottle,19,301.03
Cell_7,PET Bottle,20,299.37
Cell_7,PET Bottle,21,298.55
Cell_7,PET Bottle,22,298.87
Cell_7,PET Bottle,23,297.57
Cell_7,PET Bottle,24,298.63
Cell_7,PET Bottle,25,296.54
Cell_7,PET Bottle,26,296.14
Cell_7,PET Bottle,27,296.09
Cell_7,PET Bottle,28,295.15
Cell_7,PET Bottle,29,295.47
Cell_7,PET Bottle,30,294.21
Cell_7,PET Bottle,31,294.64
Cell_7,PET Bottle,32,293.91
Cell_7,PET Bottle,33,293.21
Cell_7,PET Bottle,34,292.56
Cell_7,PET Bottle,35,292.38
Cell_7,PET Bottle,36,290.91
Cell_7,PET Bottle,37,291.64
Cell_7,PET Bottle,38,290.68
Cell_7,PET Bottle,39,289.8
Cell_7,PET Bottle,40,290.86
Cell_7,PET Bottle,41,290.19
Cell_7,PET Bottle,42,289.26
Cell_7,PET Bottle,43,288.55
Cell_7,PET Bottle,44,287.54
Cell_7,PET Bottle,45,287.02
Cell_7,PET Bottle,46,287.53
Cell_7,PET Bottle,47,286.04
Cell_7,PET Bottle,48,286.55
Cell_7,PET Bottle,49,285.58
Cell_7,PET Bottle,50,285.27
Cell_7,PET Bottle,51,284.94
Cell_7,PET Bottle,52,284.78
Cell_7,PET Bottle,53,283.43
Cell_7,PET Bottle,54,284.27
Cell_7,PET Bottle,55,283.33
Cell_7,PET Bottle,56,281.77
Cell_7,PET Bottle,57,282.61
Cell_7,PET Bottle,58,281.82
Cell_7,PET Bottle,59,281.77
Cell_7,PET Bottle,60,281.39
Cell_7,PET Bottle,61,280.94
Cell_7,PET Bottle,62,278.9
Cell_7,PET Bottle,63,279.83
Cell_7,PET Bottle,64,278.2
Cell_7,PET Bottle,65,277.91
Cell_7,PET Bottle,66,277.88
Cell_7,PET Bottle,67,277.48
Cell_7,PET Bottle,68,276.5
Cell_7,PET Bottle,69,275.57
Cell_7,PET Bottle,70,275.75
Cell_7,PET Bottle,71,275.52
Cell_7,PET Bottle,72,273.89
Cell_7,PET Bottle,73,274.66
Cell_7,PET Bottle,74,274.17
Cell_7,PET Bottle,75,274.51
Cell_7,PET Bottle,76,273.15
Cell_7,PET Bottle,77,272.44
Cell_7,PET Bottle,78,272.56
Cell_7,PET Bottle,79,272.12
Cell_7,PET Bottle,80,271.17
Cell_7,PET Bottle,81,269.87
Cell_7,PET Bottle,82,270.08
Cell_7,PET Bottle,83,270.05
Cell_7,PET Bottle,84,269.62
Cell_7,PET Bottle,85,269.17
Cell_7,PET Bottle,86,269.04
Cell_7,PET Bottle,87,267.4
Cell_7,PET Bottle,88,267.22
Cell_7,PET Bottle,89,266.94
Cell_7,PET Bottle,90,265.94
Cell_7,PET Bottle,91,265.87
Cell_7,PET Bottle,92,266.32
Cell_7,PET Bottle,93,264.66
Cell_7,PET Bottle,94,264.91
Cell_7,PET Bottle,95,264.67
Cell_7,PET Bottle,96,264.76
Cell_7,PET Bottle,97,263.76
Cell_7,PET Bottle,98,263.21
Cell_7,PET Bottle,99,262.22
Cell_7,PET Bottle,100,262.73
Cell_8,PET Bottle,1,308.91
Cell_8,PET Bottle,2,309.2
Cell_8,PET Bottle,3,308.84
Cell_8,PET Bottle,4,307.91
Cell_8,PET Bottle,5,307.37
Cell_8,PET Bottle,6,306.81
Cell_8,PET Bottle,7,305.99
Cell_8,PET Bottle,8,305.92
Cell_8,PET Bottle,9,305.79
Cell_8,PET Bottle,10,304.79
Cell_8,PET Bottle,11,304.77
Cell_8,PET Bottle,12,303.82
Cell_8,PET Bottle,13,302.52
Cell_8,PET Bottle,14,302.92
Cell_8,PET Bottle,15,303.32
Cell_8,PET Bottle,16,302.41
Cell_8,PET Bottle,17,302.31
Cell_8,PET Bottle,18,301.78
Cell_8,PET Bottle,19,300.42
Cell_8,PET Bottle,20,300.22
Cell_8,PET Bottle,21,300.64
Cell_8,PET Bottle,22,299.54
Cell_8,PET Bottle,23,298.7
Cell_8,PET Bottle,24,297.54
Cell_8,PET Bottle,25,298.36
Cell_8,PET Bottle,26,298.16
Cell_8,PET Bottle,27,298.36
Cell_8,PET Bottle,28,296.17
Cell_8,PET Bottle,29,297.33
Cell_8,PET Bottle,30,295.3
Cell_8,PET Bottle,31,295.95
Cell_8,PET Bottle,32,294.19
Cell_8,PET Bottle,33,294.75
Cell_8,PET Bottle,34,293.4
